,start_station_id,start_station_latitude,start_station_longitude,start_station_name,average_daily_rides,postalCode
121,334,40.74238787,-73.99726235,W 20 St & 7 Ave,80.66666666666667,10011
122,335,40.72903917,-73.99404649,Washington Pl & Broadway,54.666666666666664,10003
123,336,40.73047747,-73.99906065,Sullivan St & Washington Sq,62.333333333333336,10012
124,337,40.7037992,-74.00838676,Old Slip & Front St,17.666666666666668,10005
125,339,40.72580614,-73.97422494,Avenue D & E 12 St,11.0,10009
126,340,40.712690419999994,-73.98776323,Madison St & Clinton St,17.333333333333332,10002
127,341,40.71782143,-73.97628939,Stanton St & Mangin St,17.0,10002
128,342,40.71739973,-73.98016555,Columbia St & Rivington St,20.666666666666668,10002
129,343,40.69794,-73.96986848,Clinton Ave & Flushing Ave,9.5,11251
130,344,40.6851443,-73.95380904,Monroe St & Bedford Ave,7.666666666666667,11216
131,345,40.73649403,-73.99704374,W 13 St & 6 Ave,73.0,10011
132,346,40.73652889,-74.00618026,Bank St & Hudson St,52.666666666666664,10014
133,347,40.72873888,-74.00748842,W Houston St & Hudson St,87.33333333333333,10014
134,348,40.72490985,-74.00154702,W Broadway & Spring St,57.0,10012
135,349,40.71850211,-73.98329859,Rivington St & Ridge St,22.0,10002
136,350,40.71559509,-73.9870295,Clinton St & Grand St,35.333333333333336,10002
137,351,40.70530954,-74.00612572,Front St & Maiden Ln,35.0,10005
138,352,40.76340613,-73.97722479,W 56 St & 6 Ave,55.0,10019
139,353,40.68539567,-73.97431458,S Portland Ave & Hanson Pl,15.5,11217
140,354,40.69363137,-73.96223558,Emerson Pl & Myrtle Ave,10.0,11205
141,355,40.71602118,-73.99974372,Bayard St & Baxter St,47.666666666666664,10013
142,356,40.71622644,-73.98261206,Bialystoker Pl & Delancey St,21.333333333333332,10002
143,357,40.73261787,-73.99158043,E 11 St & Broadway,40.333333333333336,10003
144,358,40.73291553,-74.00711384,Christopher St & Greenwich St,83.66666666666667,10014
145,359,40.75510267,-73.97498696,E 47 St & Park Ave,46.666666666666664,10017
146,360,40.70717935999999,-74.00887308,William St & Pine St,36.333333333333336,10005
147,361,40.71605866,-73.99190759,Allen St & Hester St,42.666666666666664,10002
148,362,40.75172632,-73.98753523,Broadway & W 37 St,37.333333333333336,10018
149,363,40.70834698,-74.01713445,West Thames St,56.0,10280
150,364,40.68900443,-73.96023854,Lafayette Ave & Classon Ave,10.666666666666666,11205
151,365,40.68223166,-73.9614583,Fulton St & Grand Ave,10.666666666666666,11238
152,366,40.693261,-73.968896,Clinton Ave & Myrtle Ave,18.333333333333332,11205
153,367,40.75828065,-73.97069431,E 53 St & Lexington Ave,46.0,10022
154,368,40.73038599,-74.00214988,Carmine St & 6 Ave,85.33333333333333,10014
155,369,40.73224119,-74.00026394,Washington Pl & 6 Ave,40.666666666666664,10011
156,372,40.694528,-73.958089,Franklin Ave & Myrtle Ave,1.5,11205
157,373,40.69331716,-73.95381995,Willoughby Ave & Walworth St,8.0,11205
158,375,40.72679453999999,-73.99695094,Mercer St & Bleecker St,70.0,10012
159,376,40.70862144,-74.00722156,John St & William St,31.0,10038
160,377,40.72243797,-74.00566443,6 Ave & Canal St,30.666666666666668,10013
161,379,40.749156,-73.9916,W 31 St & 7 Ave,78.0,10001
162,380,40.73401143,-74.00293877,W 4 St & 7 Ave S,112.33333333333333,10014
163,382,40.73492695,-73.99200509,University Pl & E 14 St,121.0,10003
164,383,40.735238,-74.000271,Greenwich Ave & Charles St,36.666666666666664,10011
165,384,40.68317813,-73.9659641,Fulton St & Waverly Ave,17.333333333333332,11238
166,385,40.75797322,-73.96603308,E 55 St & 2 Ave,33.666666666666664,10022
167,386,40.71494807,-74.00234482,Centre St & Worth St,28.333333333333332,10007
168,387,40.71273266,-74.0046073,Centre St & Chambers St,62.666666666666664,10007
169,388,40.749717753,-74.002950346,W 26 St & 10 Ave,70.33333333333333,10001
170,389,40.71044554000001,-73.96525063,Broadway & Berry St,8.666666666666666,11211
171,390,40.69221589,-73.9842844,Duffield St & Willoughby St,9.666666666666666,11201
172,391,40.69760127,-73.99344559,Clark St & Henry St,34.333333333333336,11201
173,392,40.695065,-73.987167,Jay St & Tech Pl,9.0,11201
174,393,40.72299208,-73.97995466,E 5 St & Avenue C,25.666666666666668,10009
175,394,40.72521311,-73.97768752,E 9 St & Avenue C,46.666666666666664,10009
